id,parent_id,generated_from,type,text,rationale,verification,status
REQ-ST-001,REQ-PL-001,FUN-ST-01,functional,The system shall accept a write of an item only through the one path that every writer inside the platform uses.,"DEC-009. Sources write through Ingestion, agents write what they infer (DEC-010), and a caller that keeps the result of a live read writes it here (DEC-008). A second path into life state is a second path to build and a second path to check, and every refusal in this system would have to be written on it again.",Inspection,draft
REQ-ST-002,REQ-PL-001,FUN-ST-01,interface,The system shall refuse a write of an observed item that does not state its source.,"DEC-061. DEC-014 states the contract on both sides, and the refusal is the side that cannot be gone around. Only the system at the boundary observed the source, so the caller states it and REQ-IN-006 is the supplying side. REQ-ST-011 tells an observed value from a derived one. A derived value has no source, and REQ-ST-012 holds the data that its derivation used in place of one.",Test,draft
REQ-ST-003,REQ-PL-001,FUN-ST-01,interface,The system shall refuse a write of an item that does not state the time at which the platform received the item.,"DEC-062. The platform states this time, so a writer supplies nothing and there is nothing to refuse. REQ-ST-005 states the time and REQ-ST-039 refuses a caller that supplies one.",Test,dropped
REQ-ST-004,REQ-PL-001,FUN-ST-02,functional,"The system shall hold, with each item, the source that its writer supplied.","REQ-PL-001. The source is part of what identifies an assertion (DEC-022), and only the writer at the boundary observed it (DEC-061). REQ-ST-037 holds the writer, which the system states and does not take from the caller.",Test,draft
REQ-ST-005,REQ-PL-029,FUN-ST-02,functional,"The system shall state, with each item, the time at which it received the write.","REQ-PL-029 and DEC-062. The platform observes the write, so the platform states its time and a later reader judges an item by a time that its writer did not choose. REQ-ST-033 holds the time of the observation, which the source states and the platform never defaults.",Test,draft
REQ-ST-006,REQ-PL-001,FUN-ST-02,functional,The system shall hold the values that an item held before its current value.,"Supersession needs the value that was replaced, and REQ-PL-015 needs the data that a derivation used. A value that the platform does not keep cannot support either.",Test,draft
REQ-ST-007,REQ-PL-001,FUN-ST-03,functional,"The system shall give, as the current value of an observed item, the value from the most recent observation of that item.","REQ-PL-001 makes the platform decide which value is current, and not the reader. RSK-PL-006 is the failure that this answers. DEC-011 limits the guarantee to observed values, because a derived value has no identity that a later value replaces.",Test,draft
REQ-ST-008,REQ-PL-001,FUN-ST-03,functional,"The system shall match an item that arrives against an item that it holds, by the identifier that its writer supplied.",The platform cannot tell a new item from a later value of an item that it holds without an identifier. REQ-IN-007 and REQ-IN-020 make Ingestion supply one that is stable and unique.,Test,draft
REQ-ST-009,REQ-PL-001,FUN-ST-03,functional,"The system shall hold that an item no longer exists at its source, when a writer states it.","DEC-017. A removal at the source is an observation about the item. Supersession does not cover it, because a removal has no later value.",Test,draft
REQ-ST-010,REQ-PL-001,FUN-ST-03,functional,The system shall not include an item that no longer exists at its source in the answer to a query for current items.,"DEC-017 keeps the item and the observation against it, and REQ-ST-007 makes that observation the most recent one. This requirement states what a reader sees, so that a reader does not have to filter a cancelled meeting out of an answer.",Test,draft
