id,generated_from,type,text,rationale,verification,status
REQ-PL-001,FUN-PL-01,functional,"The platform shall hold life state as a single body, consistent across all agents, in which every item is attributable to its origin and no superseded value is returned as current.","Agents reading different pictures cannot be reconciled later. Currency is a property of the answer, so that no agent has to judge it.",Test,draft
REQ-PL-002,FUN-PL-01,functional,The platform shall answer both exact-value and meaning-based queries over life state.,Reasoning needs precise values and loose recall from the same body of data.,Demonstration,draft
REQ-PL-003,FUN-PL-02,functional,The platform shall acquire life data from declared external sources without user action.,Manual carriage is the failure this function removes.,Demonstration,draft
REQ-PL-004,RSK-002,safety,The platform shall report an external source that has not delivered as declared.,A source that stops silently produces confident reasoning over data that no longer reflects reality.,Test,draft
REQ-PL-005,FUN-PL-03,functional,"The platform shall direct work to agents and mediate exchanges between them within a declared hierarchy, such that an agent acts only within the authority its position admits, and obtaining an answer from another agent does not extend it.",Authority follows position. Asking must not become a route to borrowing authority.,Test,draft
REQ-PL-006,FUN-PL-03,functional,The platform shall detect contention between agents for the same declared resource and refer it for arbitration.,Nothing arbitrates across domains today.,Demonstration,draft
REQ-PL-007,FUN-PL-04,functional,"The platform shall track its own work as attributable, hierarchically divisible units which continue independently of any client connection and whose state is reportable on demand.","Work must outlive the conversation that raised it, and unattended work that cannot be observed cannot be trusted.",Test,draft
REQ-PL-008,FUN-PL-05,functional,The platform shall evaluate declared conditions and derive declared indicators from life state on a declared schedule.,"Detection is a scheduled evaluation, not a side effect of conversation. Indicators with no owner go unmeasured.",Demonstration,draft
REQ-PL-009,FUN-PL-05,functional,"The platform shall deliver to the user messages the user did not solicit, recording for each the condition that fired and the values that satisfied it.",Without an outbound path the system can only answer. The record belongs to the platform; the wording of the message does not.,Demonstration,draft
REQ-PL-010,FUN-PL-06,functional,"The platform shall accept and return interaction in speech and in writing, and an exchange begun through one client shall be resumable through another.","Voice-led on phone, text-led for working sessions, and a clarification raised later must be answerable from a different device.",Test,draft
REQ-PL-011,FUN-PL-06,interface,The platform shall expose a documented interface sufficient for an independently written client to drive an agent.,"One client among several, chosen freely.",Demonstration,draft
REQ-PL-012,FUN-PL-07,functional,"The platform shall distinguish actions requiring the user's authorization from those that do not, and shall not perform such an action without a recorded affirmative answer to a request stating that action.",Which actions need consent is configuration; that the distinction exists and blocks is design.,Test,draft
REQ-PL-013,Constraint: Amit,constraint,Actions that communicate with a third party or commit funds shall require the user's authorization.,Stated as a hard boundary.,Inspection,draft
REQ-PL-014,FUN-PL-08,functional,"The platform shall record every action taken on the outside world with the agent responsible, the time and the authority under which it was taken, and no such action shall be reachable by a path that bypasses REQ-PL-012.","External effects must be accountable after the fact, and a gate reachable only by convention is not a gate.",Test,draft
REQ-PL-015,FUN-PL-09,functional,"The platform shall distinguish observed information from inferred information, and shall produce for any assertion the information from which it was derived.",Inference the system cannot identify as inference will be presented as fact.,Demonstration,draft
REQ-PL-016,FUN-PL-10,functional,"The platform shall support the creation, revision and retirement of agents, retain the history of their configuration, and allow a change common to all agents to be made in one place.",Agents are components and change like components. Hand-edited siblings drift apart.,Demonstration,draft
REQ-PL-017,FUN-PL-11,functional,The platform shall report its cost of operation for the current period and the operational state of itself and its external sources.,A ceiling checked after the invoice is not a control. Faults must surface before they surface as wrong answers.,Demonstration,draft
REQ-PL-018,FUN-PL-12,functional,"The platform shall derive patterns from observed data, hold them distinguishably from what it was given, and present them for review and correction.",Derived and stated must be separable or a correction cannot be aimed. Unreviewable learning makes a wrong inference permanent.,Analysis,draft
REQ-PL-019,Constraint: Amit,constraint,The platform shall not originate life-state content.,The platform is infrastructure. Content belongs to agents and to sources.,Inspection,draft
REQ-PL-020,Constraint: Amit,constraint,"Recurring cost of operation shall not exceed USD 50 per month, excluding the host.",Stated ceiling.,Analysis,draft
REQ-PL-021,Constraint: Amit,constraint,Agents shall remain usable when the platform is not running.,On loss of the platform the suite degrades rather than stopping.,Test,draft
REQ-PL-022,Constraint: Amit,constraint,Loss of the host shall not lose life state.,"Recoverability, and the argument for a master copy held elsewhere.",Test,draft
REQ-PL-023,RSK-005,safety,Life state shall be unreachable from any path that produces published material.,Separation by construction rather than by review. The only firm data boundary stated.,Test,draft
