id,failure_mode,cause,effect,detection,S,L,D,RPN,mitigation,status
RSK-ST-001,"A query by meaning gives items that do not relate to the subject, or does not give items that do.",A query by meaning has no correct answer that a person can state in advance. It has a better answer and a worse one.,An agent reasons over the wrong material and answers with confidence. The reader cannot see which items the agent did not get.,Nobody detects it. The answer is well formed and the agent does not know what it missed.,4,4,5,80,TBD. OPN-023 holds the question.,open
RSK-ST-002,The system reports a write as accepted and then does not hold the item.,"The system reports the write before the item is durable, and the host stops.","Data that Ingestion acquired is in no part of the platform. Ingestion reports a source that is healthy, because from outside the delivery succeeded.",A comparison of what a writer sent with what the system holds.,4,3,5,60,REQ-ST-024,open
RSK-ST-003,Data that the user removed stays reachable.,Removal takes the current value of an item and leaves the values that the item held before.,"The user believes that the data is gone. REQ-PL-026 is a statement that the platform does not keep, and the user cannot reverse the belief.",A query for the removed data after the removal.,5,3,4,60,REQ-ST-023,open
RSK-ST-004,The system cannot restore life state from the copy away from the host.,"Nobody restored from the copy. The form of the copy changed, or the copy holds a state that is not consistent.",Life state is lost. REQ-PL-022 fails at the one moment where it is needed.,A restoration that the platform performs and reports.,5,2,5,50,"REQ-ST-020, REQ-ST-025",open
RSK-ST-005,The system refuses a write and reports nothing.,REQ-ST-002 and REQ-ST-003 state a refusal and state no report.,"The writer believes that it delivered. Ingestion reports a healthy source, and the item is in no part of the platform.",A comparison of what a writer sent with what the system holds.,4,3,4,48,REQ-ST-026,open
RSK-ST-006,A derived value stays after the system removes the data that the derivation used.,Removal acts on the item and does not act on a derivation that used the item.,"The platform holds an assertion that it cannot explain, and REQ-PL-015 cannot be met for that assertion.",A comparison of the inputs of each derived value with the items that the system holds.,4,3,4,48,REQ-ST-027,open
RSK-ST-007,The system gives a value that is not the most recent observation of an item.,"The system orders values by the time that it received them, and a source delivers an older observation later.",An agent acts on a value that is not current. The user states that this condition stops the use of the system.,A test at the query.,5,3,3,45,REQ-ST-007,open
RSK-ST-008,The system serves a part of life state that the position of the caller does not admit.,The declaration of the position changed and the system used an earlier copy of it.,"An agent reads a domain that is not its own, and the data appears in its output. This is the path in RSK-PL-005 that stays inside the platform.","A read that the system refuses, compared with the declaration.",4,2,4,32,REQ-ST-017,open
RSK-ST-009,The system accepts a write to a part of life state that the position of the writer does not admit.,The declaration of the position changed and the system used an earlier copy of it.,An agent asserts in a domain that is not its own. The assertion carries an origin that makes it look correct.,"A write that the system refuses, compared with the declaration.",4,2,4,32,REQ-ST-018,open
RSK-ST-010,"The system matches an item that arrives against an item that it holds, and the two are not the same item.","Two items carry one identifier, or the system matches on a value that the source rewrites.",One item replaces another. The item that is replaced is lost and nothing reports the loss.,A test of the identifier before the system matches.,4,2,4,32,REQ-ST-008,open
RSK-ST-011,A query does not complete in the time that a caller needs.,Life state grows and nothing expires (DEC-021). The host has two processors.,"An exchange with the user stops being usable, and an agent that waits holds work that does not move.",The system reports the time that it takes to answer.,3,4,2,24,REQ-ST-028,open
