id,parent_id,generated_from,type,text,rationale,verification,status
REQ-IA-001,REQ-PL-030,FUN-IA-01,functional,The system shall refuse an exchange with a person that it has not identified as the user.,"REQ-PL-030 records the answer of the user as the platform received it from the user, and an answer from a person that nobody identified is not that. The means of identification is below this level.",Test,draft
REQ-IA-002,REQ-PL-011,FUN-IA-08,interface,The system shall give the user the agents that the user can reach.,"INT-PL-15 brings them from Agent Definition, where REQ-AD-024 supplies them. DEC-088 makes the user choose the agent, so the user must be able to see what there is to choose.",Test,draft
REQ-IA-003,REQ-PL-010,FUN-IA-02,functional,The system shall attach an exchange in text to an agent that the user chooses from the agents that the user can reach.,DEC-088.,Test,draft
REQ-IA-004,REQ-PL-010,FUN-IA-02,functional,The system shall attach every spoken exchange to the agent that holds the position that speaks to the user.,"DEC-089. The user speaks to one agent whatever the subject. Whether speech and reasoning are one component is below this level. DEC-119 makes that agent the holder of one flagged position, which REQ-AD-064 gives.",Test,draft
REQ-IA-005,REQ-PL-011,FUN-IA-02,functional,The system shall give a documented interface through which a client that another person wrote attaches to an agent.,"REQ-PL-011 and DEC-080. A client is not an external service under DEC-032, so it reaches this system and not External Access. This is the part of OPN-061 that this system holds. The acts that a client can reach are held by ACTUATION.",Inspection,draft
REQ-IA-006,REQ-PL-010,FUN-IA-03,functional,The system shall accept and return speech.,REQ-PL-010.,Test,draft
REQ-IA-007,REQ-PL-010,FUN-IA-03,functional,The system shall accept and return text.,REQ-PL-010.,Test,draft
REQ-IA-008,REQ-PL-010,FUN-IA-03,functional,"The system shall let the user continue, in a second client, an exchange with an agent that started in a first client.",REQ-PL-010. The user uses an agent from more than one client. This does not make every surface of the platform available in every client.,Test,draft
REQ-IA-009,REQ-PL-010,FUN-IA-03,performance,The system shall return the first speech of a spoken turn within TBD.,"OPN-003. A spoken turn must be fast and must read enough to feel that it knows the user, and the value is found by prototypes at subsystem level.",Test,draft
REQ-IA-010,REQ-PL-001,FUN-IA-04,functional,The system shall write each exchange that it carries to life state.,"DEC-085. The purpose is not the record: it is what an agent derives from the exchange afterwards, which REQ-PL-018 states and REQ-PL-015 keeps apart from the observed exchange. REQ-IA-026, REQ-IA-027 and REQ-IA-028 state what State Custody receives with each exchange.",Test,draft
REQ-IA-011,REQ-PL-012,FUN-IA-05,interface,The system shall keep each unit of work that waits for the user available for the user to find.,"INT-PL-10. DEC-104 has the caller raise the unit and keeps the choice of when to ask with an agent, and DEC-066 has Work and Coordination hold it, so the unit reaches this system from Work and Coordination and this system does not choose when to push it.",Test,draft
REQ-IA-012,REQ-PL-012,FUN-IA-05,functional,The system shall keep a unit of work that waits for the user available in any client that the user attaches.,A question that waits in one client is not seen by a user who uses another.,Test,draft
REQ-IA-013,REQ-PL-030,FUN-IA-06,interface,"The system shall give the answer of the user to the unit of work that waits for it, as the user gave it.","DEC-084. This answers the half of OPN-049 that asks which system receives the answer. WORK AND COORDINATION holds the other side, OPN-064.",Test,draft
REQ-IA-014,REQ-PL-009,FUN-IA-07,interface,The system shall deliver to the user a message that a unit of work carries for the user.,REQ-PL-009 and DEC-082. The unit reaches this system over INT-PL-10 as any unit that waits for the user does. An agent writes each message and this system does not compose one. The record of the condition that started a message is not this system.,Test,draft
REQ-IA-015,REQ-PL-009,FUN-IA-07,functional,The system shall deliver a message by the means that its unit of work states.,"OPN-075. The unit of a message states the means by which it is delivered, and the set of means is not fixed at this level. That means is an item of its own, apart from whether the user is told when the unit closes, which REQ-WC-089 makes false for a message (OPN-075).",Test,draft
REQ-IA-016,REQ-PL-009,FUN-IA-07,interface,"The system shall give, for each message, that the user received it.","DEC-082. Work and Coordination holds the message as work in progress until the user saw it (DEC-120), and no agent can then read a closed unit as a message that the user received. WORK AND COORDINATION holds the other side, OPN-065. The first text gave whether the user opened, answered or acknowledged it. Work and Coordination waits on one event and does not judge it (DEC-095), and REQ-IA-019 holds what counts as received.",Test,draft
