id,parent_id,name,definition,rationale,status
FUN-ST-01,FUN-PL-01,Write Admission,"Accepts a write of an item from a writer inside the platform, and refuses a write that does not meet the contract.","Sources, agents and any caller that keeps the result of a live read write through one path (DEC-008). A contract that the receiver enforces cannot be gone around, and it covers a writer that nobody wrote a requirement for.",draft
FUN-ST-02,FUN-PL-01,Item Custody,"Holds each item with the writer that the system stated, with the source that its writer supplied, with its times, and with the values that the item held before.","An item with no origin cannot be judged. A value with no history cannot be superseded, and a derivation cannot give the data that it used.",draft
FUN-ST-03,FUN-PL-01,Identity and Supersession,"Matches an item that arrives against an item that it holds, makes one value current, and holds that an item no longer exists at its source.","REQ-PL-001 makes the platform give a current value, so the platform and not the reader decides which value is current. A removal has no later value and supersession does not cover it (DEC-017).",draft
FUN-ST-04,FUN-PL-01,Provenance,"Tells an observed value from a derived one, gives the data and the time that a derivation used, and gives the writer, the source and the times of each value that it serves.","An inference that a reader cannot identify is given as a fact. A derived value decays when its inputs move on, and the reader judges it (DEC-011).",draft
FUN-ST-05,FUN-PL-01,Exact Query,Answers a query for the value of an item.,An agent needs an exact value.,draft
FUN-ST-06,FUN-PL-01,Meaning Query,"Answers a query by meaning, and gives the items that relate to the subject of the query.","An agent needs the values that relate to a subject, from the same body of data. This is a different mechanism from an exact query, and one works while the other fails.",draft
FUN-ST-07,FUN-PL-01,Admission by Position,"Refuses a read, a write and a removal that the position of the caller does not admit.",Agent Definition declares the position and what it admits. Each boundary refuses (DEC-019). This is the boundary for data.,draft
FUN-ST-08,FUN-PL-01,Off-host Copy,"Makes the copy of life state away from the host, decides when to make it, and restores life state from it.",A consistent copy of a body of data is a property of holding that body. External Access carries the copy to the external service and does not decide (DEC-020).,draft
FUN-ST-09,FUN-PL-01,Removal,"Removes one item, or everything that came from one source, when the user asks.","Life state is kept until the user removes it (DEC-021). Removal is the only thing that takes data out, and the user is the only one that starts it.",draft
FUN-ST-10,FUN-PL-01,Kind Declaration,"Holds the kinds of item that life state accepts, and accepts the declaration of a new kind, a change to a kind and the removal of a kind.","A body of shapes that nobody declared cannot be enumerated, and makes a query by meaning worse with time (RSK-ST-001). The declaration is also the form that a writer converts into (DEC-025).",draft
FUN-ST-11,FUN-PL-01,Subject Declaration,"Holds the declared subjects and their hierarchy, and accepts the declaration of a new subject, a change to a subject and the removal of a subject.","DEC-063. FUN-ST-10 holds the same capability for the kind of an item. MET-017 uses the functions as the coverage check, so a capability that no function states is invisible to that check.",draft
