id,date,decision,reason,reverses_if,status
DEC-001,2026-09-13,"Requirements held as CSV under git, one file per register, validated on commit.","Line-per-requirement diffs are readable; the table opens in a spreadsheet; standard-library parsing keeps the tooling inspectable. Rejected SQLite as opaque in git, and one-file-per-item as losing the table view.",The set grows past roughly 500 items.,agreed
DEC-002,2026-09-13,"An agent is one definition with two runtimes: interactive, where an external client attaches, and autonomous, where the platform runs the same definition for background work.","Containing agents is required for FUN-PL-04, FUN-PL-05 and FUN-PL-03, none of which an external chat client can provide. Splitting by runtime rather than by agent avoids the rejected some-contained-some-coordinated arrangement, and leaves definitions as files so REQ-PL-021 holds.",Interactive attachment proves unworkable.,agreed
DEC-003,2026-09-13,Publishing is not a system function.,"Publishing is the user's activity, not the system's.",Publication becomes automated enough to need its own requirements.,agreed
DEC-004,2026-09-13,"This dataset constrains the platform only. Agent policy, obligations on the user, and rules for how the work is done are excluded and held outside the repository.","A requirement on what an agent decides, or on how the system is built, is not a requirement on the pipeline.",Never; this boundary is what keeps the set coherent.,agreed
DEC-005,2026-09-13,Sub-functions removed. Functions are flat at product level.,Every requirement that flowed from a sub-function flows from its parent without loss. Decomposition belongs at system level.,A function accumulates enough requirements to become unreadable.,agreed
DEC-006,2026-09-13,Product requirements carry a verification method but no acceptance criterion.,"Product requirements are broad by nature, and it is acceptable that they are vague. Specificity belongs to the system and component levels, where the criteria will be written. Criteria will live in TST- entries.",Never at this level.,agreed
DEC-007,2026-09-13,Requirements are stated as properties of the platform observed from outside. Internal structure is not named.,"A requirement naming a store, a register or a definition file has assumed an architecture that has not been decided, and belongs to a system or component level that does not yet exist.",Never at product level.,agreed
DEC-008,2026-09-13,"Product requirements are consolidated: one or two comprehensive statements per function, not one per observable behaviour.",A behaviour that can be verified within a single system is a requirement of that system. Writing it at product level inflates the set and pre-empts a decomposition that has not happened. Twenty-three requirements against twelve functions; the detail arrives as children.,A function is found to carry two genuinely independent product-level obligations.,agreed
DEC-009,2026-09-13,"Contention between agents is arbitrated by a coordinator agent. Where the coordinator cannot resolve it, it escalates to the user.","Arbitration is a judgement about priorities across domains, which is agent work, not platform work. The platform detects contention and routes it; deciding belongs to an agent holding the cross-domain view. Escalation exists because a coordinator that cannot resolve something must not sit on it.",Cross-domain contention proves rare enough that a standing coordinator is unwarranted.,agreed
DEC-010,2026-09-13,"Life state is held on the host, with a backup to Drive at daily frequency or better. One location, one copy off it. Mechanism not yet decided.","Satisfies REQ-PL-022 and REQ-PL-021 with a single mechanism rather than two: the off-box copy is both the recovery copy and the copy agents fall back to. Rejected managed cloud hosting, which secures recovery but leaves degraded operation unsolved and gives up the operational experience. Rejected splitting by data class, which was the earlier proposal, as more mechanisms than the problem needs.","The backup proves unable to support degraded operation, or write volume outgrows what the host can hold.",agreed
