id,parent_id,name,definition,rationale,status
FUN-AD-01,FUN-PL-10,Definition Admission,"Accepts what states an agent when it meets the contract, and refuses it when it does not.","OPN-009. FUN-WC-01 and FUN-ST-01 keep admission apart from custody for the same reason: every caller observes what the system refuses, and no caller observes what it holds. DEC-037 gives three parts and each one arrives at this boundary.",draft
FUN-AD-02,FUN-PL-10,Definition Custody,"Makes, changes and retires an agent. Confers a position on an agent. Holds one identity for each agent and one identity for each position. Holds them when the platform restarts.","REQ-PL-016 makes, changes and retires agents. DEC-024 gives this system the data that states what an agent is, DEC-037 divides it into three parts and DEC-038 holds an identity at two levels.",draft
FUN-AD-03,FUN-PL-10,Definition Visibility,"Gives what states an agent now, including an agent that is retired, and gives each earlier configuration of that agent with the change that replaced it.","REQ-PL-016 keeps the history of the configuration of each agent. FUN-WC-03 separates what a system gives from what it holds for the same reason. A change that no caller can see is not under change control, and DEC-046 keeps what a retired agent was, which only this function gives.",draft
FUN-AD-04,FUN-PL-10,Position Declaration,"Holds each position with the part of each body and the acts that it admits, and with the positions that its holder may confer. Accepts the declaration of a position. Gives a position to a boundary that refuses.","DEC-019 declares the position in one place, makes each boundary refuse, and names FUN-PL-10 as the home that keeps its history. DEC-029 states what a position admits and DEC-039 adds what its holder may confer. FUN-ST-10 and FUN-WC-08 hold a declaration in the same shape. INT-PL-09 is the position that this function gives to Work and Coordination.",draft
FUN-AD-05,FUN-PL-03,Hierarchy Declaration,"Gives the place of each agent in the declared hierarchy, and accepts a change of place.","REQ-PL-005 directs work to agents in a declared hierarchy. DEC-040 separates the place from the position, and admits a change of place to the first common relative only.",draft
FUN-AD-06,FUN-PL-10,Admission by Position,"Refuses a change to what states an agent, to a position, or to the hierarchy, that the position of the caller does not admit, and reports what it refuses.","DEC-019 makes each boundary refuse what a position does not admit, and a change to a declaration arrives at this one. REQ-ST-032 and REQ-WC-023 state the same refusal for the declaration of a kind and of a resource.",draft
FUN-AD-07,FUN-PL-14,Rules for Work with the Platform,Gives to an agent the rules for work with the platform.,"REQ-PL-027. DEC-037 makes the rules one statement and not a part of each identity. A statement that each definition carries is a statement that drifts, which is the failure that DEC-019 answers.",draft
FUN-AD-08,FUN-PL-14,Agent Roster,Gives the set of agents that the platform holds and the position that each one holds.,"DEC-001 attaches an external client to an agent, and a client cannot attach to an agent that it cannot find. DEC-042 states the part of the work body over positions, so a raiser needs the position of an agent and not its name alone. REQ-PL-024 limits what this function gives to the part that the position of the caller admits.",draft
FUN-AD-09,FUN-PL-10,Portable Definition,Gives what states an agent in a form that is sufficient to use that agent when the platform does not run.,"REQ-PL-021 keeps agents usable when the platform does not run, and DEC-043 states what sufficient means and what stays outside. DEC-001 keeps one definition for two runtimes.",draft
FUN-AD-10,FUN-PL-03,Declared Recipient,Gives the position that receives a unit of work that names no agent.,"REQ-WC-012 sends such a unit to one declared agent and nothing in the model declared one. DEC-030 makes the choice of an agent a judgement, so this system holds the declaration and makes no choice. DEC-042 states it over a position and not over an agent.",draft
FUN-AD-11,FUN-PL-10,Copy and Restoration,"Gives a copy of what states an agent that is of a state that the system held at one time, and restores what states an agent from such a copy.","REQ-PL-022 keeps what states an agent after the loss of the host. DEC-020 states that a consistent copy of a body is a property of holding that body, and that External Access carries the copy, so this function gives the copy and does not carry it. FUN-ST-08 is the same function for life state. OPN-040 holds whether the copy away from the host is one capability in External Access.",draft
FUN-AD-12,FUN-PL-03,Resource Ownership,Refuses a position that admits an act on a declared resource which another position already admits.,"DEC-059 gives each declared resource one owner and the owner is a position, so the refusal sits where the positions are held. FUN-AD-06 refuses what the position of the caller does not admit, which is a different refusal: this one holds whatever the caller may do. MET-012 makes it its own row rather than a fourth clause of FUN-AD-04.",draft
