id,failure_mode,cause,effect,detection,S,L,D,RPN,mitigation,status
RSK-IA-001,The system gives an affirmative answer that the user did not give.,Speech is misheard. A person who is not the user speaks at a device of the user. A recording plays.,An action that needs the authorization of the user occurs and no person answered for it. REQ-PL-013 names actions that no person can reverse.,The record of the action names an answer that the user does not recognise.,5,3,4,60,REQ-IA-017 REQ-IA-001,mitigated
RSK-IA-002,The user confirms an action other than the action that the unit of work states.,"The agent that speaks the question states the action in its own words, which DEC-104 permits.",The user approves an action that the user did not mean.,The user finds it when the effect of the action is seen.,5,3,4,60,REQ-IA-018,mitigated
RSK-IA-003,The system gives that the user received a message when the user did not receive it.,A service accepts a message and the user never sees it.,"An agent assumes that the user knows, and acts on that.",A person finds it only when the person traces a wrong assumption back.,4,4,4,64,REQ-IA-019 REQ-IA-016,mitigated
RSK-IA-004,The system accepts an exchange from a person who is not the user.,An identification is compromised. A client is left open.,Life state is disclosed. Work is raised in the name of the user.,A person finds it only when the person traces work that the user did not raise.,5,2,4,40,REQ-IA-001 REQ-IA-020 REQ-IA-021 REQ-IA-017,mitigated
RSK-IA-005,The system gives an answer to a unit of work other than the unit that the user answered.,Two units wait for the user at one time.,An action is approved that the user did not approve.,A person finds it only when the person traces the wrong action back.,5,2,4,40,REQ-IA-022 REQ-IA-013,mitigated
RSK-IA-006,The system does not return a spoken turn fast enough for speech.,A turn reads too much before it answers.,The user stops the use of speech and uses text. The user can see that the spoken turn failed.,The user hears it.,3,4,2,24,REQ-IA-009,mitigated
RSK-IA-007,The platform delivers more messages than the user accepts.,A declared condition or an agent starts contact too often.,The user stops the use of the system.,The user sees it.,5,3,2,30,DEC-081,accepted
RSK-IA-008,The system does not write an exchange to life state.,A write fails at the end of an exchange.,What an agent could derive from the exchange is lost.,Nobody finds it.,2,3,5,30,REQ-IA-023 REQ-IA-010,mitigated
RSK-IA-009,The system does not present a unit of work that waits for the user.,A client does not show it. A later client does not show it.,The work that waits on the answer stops (REQ-PL-025).,A person finds it if the person looks at the work that waits.,3,3,3,27,REQ-IA-024 REQ-IA-012,mitigated
RSK-IA-010,An exchange does not continue in a second client.,The state of the exchange is held in the first client.,"The user states again what the user already said, and the answer is less useful until the user does.",The user sees it.,2,3,2,12,REQ-IA-008,mitigated
RSK-IA-011,The system attaches the user to an agent other than the agent that the user chose.,A fault in attachment.,An agent with a different position answers.,A person finds it if the person looks.,4,2,3,24,REQ-IA-025 REQ-IA-003,mitigated
