id,failure_mode,cause,effect,detection,S,L,D,RPN,mitigation,status
RSK-IN-001,"The system does not keep content that a source delivered, and reports nothing.",A source adds content that the definition does not describe. The system converts what it recognises and discards the rest.,"Data exists at the source and never reaches life state. A stop is reported, but this is not reported.",The system compares each delivery with the form that its definition states.,4,4,5,80,REQ-IN-016,mitigated
RSK-IN-002,The system gives State Custody a value in a form that the source did not use.,"The source changes a unit or a time reference, and the definition still states the old one.","Life state holds a wrong value, and the value carries the mark of an observation, which is the strongest mark that the platform gives.",The system compares the form of each value with the form that its definition states.,5,3,5,75,"REQ-IN-017, REQ-IN-001",mitigated
RSK-IN-003,The system gives the time at which it received a value as the time of the observation.,"The source supplies no time of observation, and the system puts a time in its place.",Currency is decided on a timeline that no source supports. A reader cannot see that the time is not true.,An item that carries a time of observation that its source did not supply.,4,3,4,48,REQ-IN-018,mitigated
RSK-IN-004,The system gives State Custody content that the definition of the source does not describe.,"The source returns a wider record than the definition names, and the system passes all of it.","The platform holds data that the user did not give it, and the widening did not pass the gate that DEC-013 states.",The system compares each delivery with the content that its definition states.,4,3,4,48,REQ-IN-019,mitigated
RSK-IN-005,Two items from different sources carry the same identifier.,The identifier comes from the source and the system does not make it unique across sources.,"State Custody treats one item as a later value of the other. One item is lost, and nothing reports the loss.",The system tests each identifier for uniqueness when it hands the item over.,4,2,4,32,REQ-IN-020,mitigated
RSK-IN-006,The identifier of an item is not the same across deliveries from one source.,The identifier comes from a field that the source rewrites.,"The same item arrives as a new item. Life state holds it two times, and an agent counts it two times.",The system compares an item that arrives with the items that State Custody holds.,3,4,3,36,REQ-IN-007,mitigated
RSK-IN-007,The system accepts an incomplete delivery as a complete delivery.,"The source returns part of the data that it promised, and the delivery reports success.",Life state shows that nothing exists where data exists. An agent answers that there is nothing.,The system compares each delivery with what its definition states.,4,4,4,64,REQ-IN-009,mitigated
RSK-IN-008,The system reports a source that did not fail.,"The definition does not state whether the source delivers full state or differences, so a source with nothing to report looks like a source that stopped.","The reports stop being trusted, and a source that did fail is not seen. REQ-PL-004 holds in the model and not in use.",A person compares a report with the state of the source.,4,4,3,48,"REQ-IN-021, REQ-IN-001",mitigated
RSK-IN-009,Acquisition does not complete inside the interval that the definition states.,"The volume is more than the host can process, or a backlog follows an outage.","Life state lags its source without a limit, and the interval in the definition means nothing.",The system reports the time of the most recent delivery for each source.,3,4,2,24,"REQ-IN-010, REQ-IN-011",mitigated
RSK-IN-010,The system continues to acquire from a source after its definition is withdrawn.,Withdrawal stops the definition and does not stop the acquisition that uses it.,The platform continues to take data that the user withdrew. The effect is the effect of RSK-PL-005 and the user cannot reverse it.,The system compares each acquisition with the definitions that are in force.,4,2,3,24,REQ-IN-013,mitigated
RSK-IN-011,The system does not acquire a difference that a source reported.,"The source delivers differences. The system stops, or loses its position in the sequence, and continues from the wrong place.","One item in life state stays wrong for as long as the source does not report it again. Nothing reports the loss, because each later delivery succeeds.","The system compares the full state of the source with life state, at the interval that the definition states.",4,3,5,60,REQ-IN-023,mitigated
