id,parent_id,generated_from,type,text,rationale,verification,status
REQ-AC-001,REQ-PL-031,FUN-AC-01,functional,"The system shall accept the declaration of an act on the outside world, a change to a declared act and the removal of a declared act.","REQ-PL-031 gives each declaration a new, a change and a removal, and the property is that the path is whole. The first text stated the three in three rows.",Test,draft
REQ-AC-002,REQ-PL-031,FUN-AC-01,functional,The system shall refuse the declaration of an act that does not state the external service that the act reaches and the form of its arguments.,"DEC-103. The external service is where External Access carries the call, and the form of the arguments is what a caller supplies and what Authorization judges (FUN-AU-02). Nothing else is declared: whether an act needs authorization is judged over the act with its arguments, and whether it is hard to reverse is not stated.",Test,draft
REQ-AC-003,REQ-PL-031,FUN-AC-01,functional,The system shall refuse the removal of a declared act that a position names.,"DEC-071 refuses a removal that another declaration depends on. A position that names a removed act admits nothing where it stated an act, and nothing says so. REQ-ST-050, REQ-IN-027 and REQ-WC-045 state the same refusal, and REQ-AD-053 supplies whether a position names a declaration.",Test,draft
REQ-AC-004,REQ-PL-028,FUN-AC-01,functional,"The system shall accept the declaration of an act, a change to an act and the removal of an act from an agent only.","REQ-PL-028 and DEC-053. To structure a statement of the user into a declaration is a judgement that DEC-030 keeps out of the platform. The three name one writer, as REQ-AU-002 states for a class.",Test,draft
REQ-AC-005,REQ-PL-029,FUN-AC-01,functional,"The system shall hold, with each declared act, the writer that declared it and the time of the declaration.","REQ-PL-029 and DEC-061. REQ-AU-011 and REQ-ST-031 hold the writer with each declared class and kind for the same reason: a reader must see which agent declared an act. The first text held the writer only, and REQ-PL-029 states the time as well.",Test,draft
REQ-AC-006,REQ-PL-005,FUN-AC-03,functional,"The system shall refuse the declaration of an act, a change to an act and the removal of an act from a caller whose position does not admit it.","DEC-019 and DEC-029. REQ-AU-012, REQ-ST-032 and REQ-WC-023 state the same refusal at the other declaration boundaries.",Test,draft
REQ-AC-007,REQ-PL-005,FUN-AC-03,functional,The system shall refuse a call to an act on the outside world unless it confirms that the position of the caller admits that act.,"REQ-PL-005 keeps an agent inside the authority that its position gives, and DEC-019 makes each boundary refuse. This system holds the acts on the outside world, so it is their boundary. A caller can call an act that it was not shown, so REQ-AC-008 does not refuse (DEC-102). A position that cannot be confirmed is refused, as REQ-WC-030 states for a unit of work.",Test,draft
REQ-AC-008,REQ-PL-011,FUN-AC-02,functional,"The system shall give a caller each act that the position of the caller admits, with the form of the arguments of that act.","DEC-069 and DEC-102. REQ-AD-052 states in the rules where a caller finds the acts, and this is where it finds them. A caller reads an act when it needs it, so a change to an act reaches every caller at once and no copy goes stale.",Test,draft
REQ-AC-009,REQ-PL-011,FUN-AC-02,functional,"The system shall give the acts, and accept a call to an act, through an interface that a client that another person wrote can use without a change to that client.","REQ-PL-011 makes the interface sufficient for a client that another person wrote to operate an agent, and DEC-087 attaches that client to an agent through Interaction (REQ-IA-005). The agent then calls the acts from that client, so this interface must be one that such a client already uses. Which interface is below this level. OPN-061.",Demonstration,draft
REQ-AC-010,REQ-PL-011,FUN-AC-02,interface,The system shall carry each call to an act that another system holds to that system.,"DEC-102. The system that holds the act refuses and does it, so this system carries the call and makes no judgement (DEC-030). The first text also carried a released gated unit, which is a second item from a second function and is REQ-AC-026.",Test,draft
REQ-AC-011,REQ-PL-011,FUN-AC-02,functional,"The system shall give a caller the result of each act that it called, as the system that did the act gives it.","A caller needs the result to continue. The result of a read of State Custody carries the writer, the source and the times (REQ-ST-014), and the result of a read of the declared classes is the statement of Authorization (REQ-AU-006, REQ-AU-009), so this system gives each one as it receives it and holds no copy. A gated act returns its result through Work and Coordination (REQ-AC-020), because the caller does not hold it (DEC-066).",Test,draft
REQ-AC-012,REQ-PL-014,FUN-AC-01,functional,The system shall refuse a call to an act on the outside world that is not declared.,"REQ-PL-014 makes no action on the outside world reachable by a path that does not use REQ-PL-012. An act that is not declared has no stated form, so Authorization cannot judge it and the record cannot state it.",Test,draft
