id,failure_mode,cause,effect,detection,S,L,D,RPN,mitigation,status
RSK-AD-001,The system gives a position without the parameter that was bound for the holder.,"A position is declared one time and the part of a body is bound for each holder when the position is conferred (DEC-045), so every answer combines a declaration with a binding.",A holder admits the whole of the part that the declaration states and not its own part. An agent that holds one position with other agents reads what those agents read.,"Nobody finds it. The caller receives a position that is well formed, no boundary refuses, and no answer is wrong.",4,3,5,60,"REQ-AD-014, REQ-AD-031",open
RSK-AD-002,"The system accepts what states an agent, or a change to it, from a caller whose position does not admit it.","What states an agent arrives at this boundary when an agent is made and when it is changed, and DEC-019 makes this boundary the one that refuses.","A declaration that nobody admitted governs every other boundary, because each one refuses against it.","Nobody finds it. The declaration that follows is well formed, and no other boundary can see that it was not admitted.",5,2,5,50,"REQ-AD-018, REQ-AD-019, REQ-AD-020",open
RSK-AD-003,The system gives a form for use away from the platform that is not sufficient to use the agent.,"Nothing exercises the form while the platform runs, and REQ-AD-026 is met by a form that looks complete.","REQ-PL-021 is not met at the one time that it is needed, which is the time when the platform does not run.",A person finds it only when the platform does not run and the agent cannot be used.,3,3,4,36,REQ-AD-034,open
RSK-AD-004,The system gives as the receiver of a unit of work that names no agent a position that no agent holds.,"DEC-046 ends the holding of a position when an agent is retired, and nothing states that the declared receiver keeps a holder.","A unit of work that names no agent reaches nobody, and REQ-WC-012 cannot be met.",A person finds it only when work that the person expected did not happen.,4,2,4,32,REQ-AD-032,open
RSK-AD-005,The system does not give a position in the time that a boundary needs.,"Every read and every write at every boundary waits for this answer (DEC-019), and the host is small.","Each boundary waits or refuses, and the platform stops being usable.",A person sees it in the report of the operational state that REQ-PL-017 gives.,5,3,2,30,REQ-AD-015,open
RSK-AD-006,The system gives a caller a part of the set of agents that the position of that caller does not admit.,"The set of agents is data that states what an agent is, and REQ-PL-024 limits what the platform serves to the part that a position admits.","An agent learns what every other agent is for, which is the context that REQ-PL-024 exists to withhold.",Nobody finds it. No boundary refuses and no answer is wrong.,3,2,5,30,REQ-AD-025,open
RSK-AD-007,The rules that the system gives do not state an act that a boundary of the platform refuses.,"No one system can compare the rules with the refusals of another system, so REQ-PL-027 has no child at system level.","An agent asks for what is refused, or does not ask for what is admitted, and the refusal does not state that the rules are wrong.",A person finds it if the person reads a refusal and then reads the rules.,3,3,3,27,TBD,open
RSK-AD-008,The system gives what states an agent and does not give the change that produced it.,"REQ-AD-005 lets an agent change its own identity, and a change that is applied before it is recorded leaves no record.","A configuration cannot be traced to the caller that made it, and the history that REQ-PL-016 keeps has a gap that nobody can see.",A person finds it only when the person traces an answer back to a change.,3,2,4,24,"REQ-AD-009, REQ-AD-033",open
RSK-AD-009,The system continues to give a retired agent as the holder of a position.,"Retirement changes what the system gives, and REQ-AD-006 is the only statement that it does.","Work reaches an agent that no longer acts, and a boundary admits an act against a position that nobody holds.",A person finds it if the person reads the set of agents.,3,2,3,18,REQ-AD-006,open
RSK-AD-010,The system cannot give what states an agent after the loss of the host.,"What states an agent is held on the host, and a copy away from the host is the only part of it that the loss of the host does not take.","The platform recovers life state and holds no agents, no positions and no hierarchy.",The platform reports it.,5,2,1,10,"REQ-AD-036, REQ-AD-037",open
